"","dd_KSCOAR_dam.df","dd_KSCOAR_dam.logLik","dd_KSCOAR_dam.AICc","dd_KSCOAR_dam.delta","dd_KSCOAR_dam.weight"
"158",19,590.348897810743,-1139.21155708938,8.08251344568225,0.00109541691698354
"159",19,590.342626091843,-1139.19901365158,8.09505688348145,0.0010885682688493
"160",20,591.510097299744,-1139.14922685755,8.14484367750424,0.00106180460803971
"161",18,589.126596428536,-1139.12990518584,8.16416534921859,0.00105159607886957
"162",20,591.47014878718,-1139.06932983242,8.22474070263343,0.0010202231811707
"163",18,589.094945080717,-1139.0666024902,8.22746804485678,0.00101883288046299
"164",18,589.092464247661,-1139.06164082409,8.23242971096806,0.00101630845880403
"165",18,589.083508543065,-1139.0437294149,8.25034112015965,0.00100724733540295
"166",20,591.455223539784,-1139.03947933763,8.25459119742391,0.00100510916855132
"167",18,589.077870221559,-1139.03245277188,8.26161776317326,0.00100158413157412
"168",18,589.076602127269,-1139.0299165833,8.26415395175286,0.00100031483342109
"169",19,590.248078299932,-1139.00991806775,8.28415246730378,0.000990362269596277
"170",21,592.638211787152,-1138.99864579653,8.2954247385303,0.000984796153964288
"171",21,592.636795608675,-1138.99581343957,8.29825709548595,0.000983402493914605
"172",18,589.05058111732,-1138.97787456341,8.31619597164945,0.00097462136589868
"173",19,590.216536131689,-1138.94683373127,8.34723680378966,0.000959611616862825
"174",21,592.604432196137,-1138.9310866145,8.3629839205621,0.000952085725421487
"175",19,590.207280449834,-1138.92832236756,8.36574816749908,0.000950770734345715
"176",19,590.194136996345,-1138.90203546058,8.39203507447746,0.000938356087803712
"177",18,589.006127105086,-1138.88896653894,8.4051039961189,0.000932244426664104
"178",18,588.993798106357,-1138.86430854148,8.4297619935769,0.000920821348566279
"179",19,590.171531904935,-1138.85682527776,8.43724525729749,0.000917382411700753
"180",20,591.358574868457,-1138.84618199498,8.4478885400797,0.000912513398548947
"181",20,591.342695140316,-1138.8144225387,8.47964799636134,0.000898137379585298
"182",19,590.147022587175,-1138.80780664224,8.4862638928173,0.000895171296161916
"183",19,590.141477525106,-1138.7967165181,8.49735401695625,0.000890221252594838
"184",20,591.333594791267,-1138.7962218406,8.49784869445875,0.000890001093609931
"185",19,590.137441653659,-1138.78864477521,8.50542575984878,0.000886635674393875
"186",18,588.952456727365,-1138.7816257835,8.51244475156113,0.000883529483938047
"187",19,590.132150190449,-1138.77806184879,8.51600868627042,0.000881956465191079
"188",21,592.476432982406,-1138.67508818703,8.61898234802334,0.000837696501402327
"189",21,592.441570106336,-1138.60536243489,8.68870810016301,0.000808995203930537
"190",21,592.374848495806,-1138.47191921383,8.82215132122315,0.000756779082625241
"191",21,592.369389463351,-1138.46100114892,8.83306938613327,0.000752659056960533
"192",21,592.264397044865,-1138.25101631195,9.04305422310449,0.000677642543665443
"193",20,591.054954429036,-1138.23894111614,9.0551294189213,0.000673563536554421
"194",19,589.843857220056,-1138.201475908,9.0925946270554,0.000661063383255475
"195",19,589.833202714439,-1138.18016689677,9.11390363828968,0.00065405746828047
"196",19,589.824043594415,-1138.16184865672,9.1322218783373,0.000648094228129856
"197",19,589.801753746908,-1138.11726896171,9.1768015733519,0.000633808115732452
"198",22,593.308726599595,-1137.910476455,9.38359408005363,0.000571548874179871
"199",21,592.071907680724,-1137.86603758367,9.42803295138674,0.000558989429343728
"200",21,592.061670509982,-1137.84556324219,9.44850729287054,0.000553296150368152
"201",22,593.265122106331,-1137.82326746848,9.47080306658131,0.000547162320629823
"202",22,593.231637657888,-1137.75629857159,9.53777196346755,0.000529144238358576
"203",21,591.944811129238,-1137.6118444807,9.68222605435994,0.000492273281037186
"204",21,591.935053890726,-1137.59233000367,9.70174053138385,0.000487493410312128
"205",19,589.506543904733,-1137.52684927736,9.76722125770175,0.00047179115048584
"206",19,589.449459683034,-1137.41268083396,9.88138970110049,0.000445613590814174
"207",20,590.638859109527,-1137.40675047712,9.88732005793827,0.000444294224057132
"208",20,590.630930071959,-1137.39089240198,9.90317813307524,0.00044078532793129
"209",19,589.416295385373,-1137.34635223864,9.94771829642104,0.000431077500946327
"210",20,590.59711811946,-1137.32326849699,9.97080203807218,0.000426130662913256
"211",21,591.780224229344,-1137.28267068091,10.0113998541469,0.000417567877392328
"212",19,589.361282756437,-1137.23632698076,10.057743554293,0.00040800329958252
"213",19,589.356745024628,-1137.22725151715,10.0668190179106,0.000406156084285384
"214",19,589.35287209926,-1137.21950566641,10.0745648686473,0.000404586114233872
"215",19,589.336428177356,-1137.1866178226,10.1074527124547,0.000397987533728095
"216",19,589.318374625957,-1137.1505107198,10.1435598152543,0.000390866914961217
"217",19,589.272611402783,-1137.05898427346,10.235086261602,0.000373382703325735
"218",19,589.257454687731,-1137.02867084335,10.2653996917063,0.000367766120084422
"219",20,590.446166456182,-1137.02136517043,10.2727053646286,0.000366425181198074
"220",19,589.253643497304,-1137.0210484625,10.27302207256,0.00036636716091148
"221",22,592.849717959321,-1136.99245917446,10.3016113606006,0.000361167326201442
"222",20,590.426151988374,-1136.98133623481,10.312734300245,0.000359164280119029
"223",21,591.625896601663,-1136.97401542555,10.3200551095092,0.000357851996733708
"224",20,590.418533187796,-1136.96609863366,10.3279719014013,0.0003564382767183
"225",19,589.200787446494,-1136.91533636088,10.378734174179,0.000347505312146488
"226",20,590.361576958447,-1136.85218617496,10.4418843600986,0.000336704219723801
"227",20,590.356635013156,-1136.84230228438,10.4517682506801,0.000335044350759793
"228",20,590.354868125119,-1136.8387685083,10.4553020267549,0.000334452887582909
"229",19,589.143344568075,-1136.80045060404,10.4936199310173,0.000328106113627697
"230",19,589.102966340199,-1136.71969414829,10.5743763867697,0.000315121678548663
"231",19,589.078317614511,-1136.67039669691,10.6236738381456,0.000307449276650244
"232",21,591.470474613617,-1136.66317144946,10.6308990856005,0.000306340581952614
"233",20,590.260679303767,-1136.6503908656,10.6436796694593,0.000304389217738073
"234",20,590.257742192292,-1136.64451664265,10.649553892408,0.000303496504315162
"235",22,592.641857684589,-1136.57673862499,10.717331910065,0.00029338363401433
"236",20,590.221652929435,-1136.57233811694,10.7217324181222,0.000292738825123479
"237",20,590.201609149375,-1136.53225055681,10.7618199782428,0.000286929645939232
"238",20,590.174067322994,-1136.47716690405,10.8169036310055,0.000279134912760822
"239",22,592.477882392755,-1136.24878804132,11.0452824937342,0.000249013171302494
"240",20,589.845884656127,-1135.82080157032,11.4732689647394,0.000201041741642187
"241",22,592.13619836419,-1135.5654199842,11.7286505508625,0.000176941958956669
"242",23,593.318894051566,-1135.47890959846,11.8151609365991,0.000169451469540721
"243",20,589.556186995049,-1135.24140624816,12.0526642868952,0.000150477699221977
"244",20,589.526841732417,-1135.1827157229,12.1113548121593,0.000146126053982693
"245",20,589.492442655227,-1135.11391756852,12.1801529665386,0.000141184924937497
"246",21,590.669802934856,-1135.06182809193,12.2322424431243,0.000137555272364661
"247",21,590.646119414409,-1135.01446105104,12.2796094840171,0.000134335754504313
"248",21,590.632646553988,-1134.9875153302,12.3065552048602,0.000132538005240277
"249",20,589.381294394301,-1134.89162104667,12.4024494883909,0.000126333128436026
"250",20,589.364063960501,-1134.85716017907,12.4369103559902,0.000124174999967899
"251",20,589.292569089752,-1134.71417043757,12.5799000974891,0.000115607055716488
"252",21,590.470468108776,-1134.66315843977,12.6309120952831,0.000112695669027038
"253",21,590.366155654325,-1134.45453353087,12.8395370041853,0.000101532458611635
"254",21,590.268201662378,-1134.25862554698,13.0354449880799,9.20585276318404e-05
"255",21,589.586911624759,-1132.89604547174,14.3980250633165,4.65782878725003e-05
"256",22,590.674739408516,-1132.64250207285,14.6515684622113,4.10324331991602e-05
"257",6,352.141196942354,-691.918757521072,455.375313013985,8.15045999017026e-101
"258",7,352.581512631519,-690.676068741299,456.618001793758,4.37860410578942e-101
"259",7,352.361574260189,-690.23619199864,457.057878536418,3.51412866813481e-101
"260",7,352.314642163397,-690.142327805055,457.151742730002,3.35301354842443e-101
"261",7,352.174295499087,-689.861634476434,457.432436058623,2.91395960081634e-101
"262",8,352.814796528244,-689.00077209579,458.293298439268,1.8947400522483e-101
"263",8,352.759913001204,-688.89100504171,458.403065493347,1.79355220685548e-101
"264",8,352.642658306344,-688.656495651989,458.637574883069,1.59511116802584e-101
"265",8,352.594266108186,-688.559711255674,458.734359279384,1.51975818513095e-101
"266",8,352.367946381066,-688.107071801434,459.186998733624,1.21195105885916e-101
"267",8,352.32077438364,-688.012727806582,459.281342728476,1.1561083669887e-101
"268",6,349.9619593352,-687.560282306763,459.733788228294,9.2204316392649e-102
