FID,Shape,site,meta,long,lat,GNIS_ID,GNIS_Name,LengthKm,FType,FTypeName,FCode,Descrip,Distance
121,Point,RATT2016,Rattlesnake,-98.38023,38.23193,475880,Salt Creek,3.75,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,6.869917
122,Point,SPRINGSG,SFNinnescah,-97.57556,37.5333,474310,Spring Creek,0.97,460,STREAM/RIVER,46006,Perennial,0.036376
123,Point,CHIK18,Chikaskia,-97.85062,37.37137,470189,Sandy Creek,2.054,460,STREAM/RIVER,46006,Perennial,0.390736
124,Point,OKLA,Cimarron,-99.4553,36.99892,1091369,Cimarron River,0.226,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,58.998563
125,Point,CHIK24,Chikaskia,-97.767251,37.246785, , ,0.74,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,8.359275
126,Point,CIM5,Cimarron,-100.65219,37.07038,1091369,Cimarron River,2.864,460,STREAM/RIVER,46006,Perennial,1.045946
127,Point,CIM6,Cimarron,-100.66195,37.07182,1091369,Cimarron River,2.864,460,STREAM/RIVER,46006,Perennial,0.210694
128,Point,MLR6,Medicine,-98.65923,37.29271,1095291,Medicine Lodge River,3.981,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,1.250518
129,Point,CHN10,NFNinnescah,-97.897718,37.815516, , ,1.88,460,STREAM/RIVER,46006,Perennial,1.606784
130,Point,CHN9,NFNinnescah,-97.909564,37.813036, , ,1.88,460,STREAM/RIVER,46006,Perennial,2.24276
131,Point,CLRH2O2,SFNinnescah,-97.63457,37.57649,474305,Clearwater Creek,1.022,460,STREAM/RIVER,46006,Perennial,6.902037
132,Point,ARK16,LowerArk,-98.2065,38.16953,78956,Arkansas River,3.772,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,11.000948
133,Point,NBSC1,NFNinnescah,-98.42899,37.78663, , ,1.688,460,STREAM/RIVER,46003,Intermittent,7.877784
134,Point,WALNUT,LowerArk,-98.68261,38.35423,475655,Walnut Creek,1.948,460,STREAM/RIVER,46006,Perennial,6.37078
135,Point,SFNR5,SFNinnescah,-97.77283,37.60068,485476,South Fork Ninnescah River,1.491,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,27.699313
136,Point,CHIK1,Chikaskia,-98.44981,37.51486, , ,0.501,460,STREAM/RIVER,46003,Intermittent,1.021625
137,Point,CIM7,Cimarron,-100.66858,37.07943,1091369,Cimarron River,1.978,460,STREAM/RIVER,46006,Perennial,2.81877
138,Point,CIM4,Cimarron,-100.49239,37.01122,1091369,Cimarron River,7.639,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,22.424201
139,Point,CIMAD,Cimarron,-100.506927,37.006088,1091369,Cimarron River,7.639,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,9.622252
140,Point,CHN6,NFNinnescah,-97.82925,37.72228, , ,3.121,460,STREAM/RIVER,46003,Intermittent,12.967197
141,Point,COW1,LowerArk,-97.84379,37.98472, , ,4.179,460,STREAM/RIVER,46006,Perennial,7.894227
142,Point,CHN7,NFNinnescah,-97.89909,37.8251, , ,3.233,460,STREAM/RIVER,46003,Intermittent,6.155432
143,Point,SFNR4,SFNinnescah,-98.76689,37.63992,485476,South Fork Ninnescah River,0.608,460,STREAM/RIVER,46006,Perennial,5.253098
144,Point,RATTLE7,Rattlesnake,-98.71077,38.08563, , ,7.417,460,STREAM/RIVER,46003,Intermittent,1.801824
145,Point,SFNR8,SFNinnescah,-97.91229,37.56114,485476,South Fork Ninnescah River,1.164,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,24.819945
146,Point,COON,SFNinnescah,-97.935568,37.534594,474287,Coon Creek,1.202,460,STREAM/RIVER,46006,Perennial,20.574098
147,Point,SOLD,Medicine,-99.03834,37.43808,470713,Soldier Creek,0.684,460,STREAM/RIVER,46006,Perennial,2.418462
148,Point,TBSY,Cimarron,-100.14477,37.17114,470757,Sand Creek,0.977,460,STREAM/RIVER,46003,Intermittent,6.350983
149,Point,BWWA4,SFNinnescah,-98.27396,37.65816, , ,1.867,460,STREAM/RIVER,46003,Intermittent,5.962876
150,Point,MLR5,Medicine,-98.63367,37.28673,1095291,Medicine Lodge River,2.187,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,2.575374
151,Point,CHIK12,Chikaskia,-98.05421,37.42858, , ,2.273,460,STREAM/RIVER,46003,Intermittent,8.113329
152,Point,PAINTER,SFNinnescah,-98.39211,37.58871,473951,Painter Creek,0.28,460,STREAM/RIVER,46006,Perennial,6.295051
153,Point,NTNR1,SFNinnescah,-97.56127,37.51865, , ,4.373,460,STREAM/RIVER,46003,Intermittent,1.545058
154,Point,NFN5,NFNinnescah,-98.32584,37.96033,473800,North Fork Ninnescah River,0.512,460,STREAM/RIVER,46006,Perennial,15.48731
155,Point,CIM3,Cimarron,-99.7765,37.03775,1091369,Cimarron River,1.307,558,ARTIFICIAL PATH,55800,ARTIFICIAL PATH,28.960975
