ind,site,meta
2350,NTNR1,SFNinnescah
2351,NTNR1,SFNinnescah
2352,NTNR1,SFNinnescah
2353,NTNR1,SFNinnescah
2354,NTNR1,SFNinnescah
2355,NTNR1,SFNinnescah
2356,NTNR1,SFNinnescah
2357,NTNR1,SFNinnescah
2358,NTNR1,SFNinnescah
2359,OKLA,Cimarron
2360,OKLA,Cimarron
2361,OKLA,Cimarron
2362,OKLA,Cimarron
2363,OKLA,Cimarron
2364,PAINTER,SFNinnescah
2365,PAINTER,SFNinnescah
2366,PAINTER,SFNinnescah
2367,PAINTER,SFNinnescah
2368,PAINTER,SFNinnescah
2369,PAINTER,SFNinnescah
2370,PAINTER,SFNinnescah
2371,PAINTER,SFNinnescah
2372,PAINTER,SFNinnescah
2373,PAINTER,SFNinnescah
2384,PECK,LowerArk
2385,PECK,LowerArk
2386,PECK,LowerArk
2387,PECK,LowerArk
2388,PECK,LowerArk
2389,PECK,LowerArk
2390,QNWR1,Rattlesnake
2391,QNWR1,Rattlesnake
2392,QNWR1,Rattlesnake
2393,QNWR1,Rattlesnake
2394,QNWR1,Rattlesnake
2395,QNWR1,Rattlesnake
2396,QNWR1,Rattlesnake
2397,QNWR1,Rattlesnake
2398,QNWR1,Rattlesnake
2399,QNWR2,Rattlesnake
2400,QNWR2,Rattlesnake
2401,QNWR3,Rattlesnake
2402,QNWR3,Rattlesnake
2403,QNWR3,Rattlesnake
2404,QNWR3,Rattlesnake
2405,QNWR3,Rattlesnake
2406,QNWR3,Rattlesnake
2407,QNWR3,Rattlesnake
2408,QNWR4,Rattlesnake
2409,QNWR4,Rattlesnake
2410,QNWR4,Rattlesnake
2411,QNWR4,Rattlesnake
2412,QNWR4,Rattlesnake
2413,QNWR4,Rattlesnake
2414,QNWR4,Rattlesnake
2415,QNWR4,Rattlesnake
2416,QNWR4,Rattlesnake
2417,QNWR4,Rattlesnake
2428,QNWR5,Rattlesnake
2429,QNWR5,Rattlesnake
2430,QNWR5,Rattlesnake
2431,QNWR5,Rattlesnake
2433,QNWR5,Rattlesnake
2434,QNWR5,Rattlesnake
2436,QNWR5,Rattlesnake
