ind,site,meta
1481,CHN1,North Fork Ninnescah River
1482,CHN10,North Fork Ninnescah River
1483,CHN10,North Fork Ninnescah River
1484,CHN10,North Fork Ninnescah River
1485,CHN10,North Fork Ninnescah River
1486,CHN10,North Fork Ninnescah River
1487,CHN10,North Fork Ninnescah River
1488,CHN2,North Fork Ninnescah River
1489,CHN2,North Fork Ninnescah River
1490,CHN2,North Fork Ninnescah River
1491,CHN2,North Fork Ninnescah River
1492,CHN2,North Fork Ninnescah River
1493,CHN2,North Fork Ninnescah River
1494,CHN2,North Fork Ninnescah River
1495,CHN2,North Fork Ninnescah River
1496,CHN2,North Fork Ninnescah River
1497,CHN2,North Fork Ninnescah River
1509,CHN3,North Fork Ninnescah River
1510,CHN3,North Fork Ninnescah River
1511,CHN3,North Fork Ninnescah River
1512,CHN3,North Fork Ninnescah River
1513,CHN3,North Fork Ninnescah River
1514,CHN3,North Fork Ninnescah River
1515,CHN3,North Fork Ninnescah River
1516,CHN3,North Fork Ninnescah River
1517,CHN3,North Fork Ninnescah River
1528,CHN4,North Fork Ninnescah River
1529,CHN4,North Fork Ninnescah River
1530,CHN4,North Fork Ninnescah River
1531,CHN4,North Fork Ninnescah River
1532,CHN4,North Fork Ninnescah River
1533,CHN4,North Fork Ninnescah River
1534,CHN5,North Fork Ninnescah River
1535,CHN5,North Fork Ninnescah River
1536,CHN5,North Fork Ninnescah River
1537,CHN5,North Fork Ninnescah River
1538,CHN5,North Fork Ninnescah River
1539,CHN5,North Fork Ninnescah River
1541,CHN5,North Fork Ninnescah River
1542,CHN5,North Fork Ninnescah River
1543,CHN5,North Fork Ninnescah River
1544,CHN6,North Fork Ninnescah River
1545,CHN6,North Fork Ninnescah River
1546,CHN6,North Fork Ninnescah River
1547,CHN6,North Fork Ninnescah River
1548,CHN6,North Fork Ninnescah River
1549,CHN6,North Fork Ninnescah River
1550,CHN6,North Fork Ninnescah River
1551,CHN6,North Fork Ninnescah River
1552,CHN6,North Fork Ninnescah River
1553,CHN6,North Fork Ninnescah River
1564,CHN7,North Fork Ninnescah River
1565,CHN7,North Fork Ninnescah River
1566,CHN7,North Fork Ninnescah River
1567,CHN7,North Fork Ninnescah River
1568,CHN7,North Fork Ninnescah River
1569,CHN7,North Fork Ninnescah River
1570,CHN7,North Fork Ninnescah River
1571,CHN7,North Fork Ninnescah River
1572,CHN7,North Fork Ninnescah River
1576,CHN8,North Fork Ninnescah River
1577,CHN8,North Fork Ninnescah River
1578,CHN8,North Fork Ninnescah River
1579,CHN9,North Fork Ninnescah River
1580,CHN9,North Fork Ninnescah River
1581,CHN9,North Fork Ninnescah River
1582,CHN9,North Fork Ninnescah River
1583,CHN9,North Fork Ninnescah River
1584,CHN9,North Fork Ninnescah River
1585,CHN9,North Fork Ninnescah River
1586,CHN9,North Fork Ninnescah River
1587,CHN9,North Fork Ninnescah River
1588,CHN9,North Fork Ninnescah River
1599,CIM1,Cimarron River
1600,CIM1,Cimarron River
1601,CIM1,Cimarron River
1602,CIM1,Cimarron River
1603,CIM1,Cimarron River
1604,CIM1,Cimarron River
1605,CIM1,Cimarron River
1606,CIM1,Cimarron River
1607,CIM1,Cimarron River
1608,CIM1,Cimarron River
1609,CIM1,Cimarron River
